species,ntype,stimulus,groupID,groupsize,name,age_m,sex,condition,approach_phys,approach_n,approach_alone_n,approach_soc_n,closest_appr_dis,latency_touch,sniffs_n,manipulate_n,explore_n,man_dur,sniff_dur,exp_dur,grid_time,lick,eat,notes
Marmoset,Object,Familiar object,L8,2,Tabor,149,Male,Individual,1,3,NA,NA,0,2.869,3,0,3,0,20.788,20.788,53.12,NA,NA,
Marmoset,Object,Familiar object,L8,2,Wuschel,16,Male,Individual,1,4,NA,NA,0,6.84,4,0,4,0,18.685,18.685,44.713,NA,NA,
Marmoset,Object,Familiar object,R2,2,Marvin,169.5,Male,Individual,0,0,NA,NA,1,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,R2,2,Jamaica,64.5,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,R3,2,John,166,Male,Individual,1,7,NA,NA,0,2.76,10,1,11,0.033,40.2,40.233,76.8,NA,NA,
Marmoset,Object,Familiar object,R3,2,Mojita,70.5,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,M3,2,Werewolf,34.5,Male,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,M3,2,Jambi,64.5,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,H1,2,Wasabi,50.5,Female,Individual,0,0,NA,NA,2,NA,0,0,0,0,0,0,0,NA,NA,
Marmoset,Object,Familiar object,H1,2,Kapi,223.5,Male,Individual,1,4,NA,NA,0,27.44,2,0,2,0,12.24,12.24,46.68,NA,NA,
Marmoset,Object,Familiar object,H6,2,Vesta,197.5,Female,Individual,1,3,NA,NA,0,2.36,5,2,7,0.066,24.4,24.466,44.92,NA,NA,
Marmoset,Object,Familiar object,H6,2,Vito,178,Male,Individual,1,2,NA,NA,0,7.12,4,0,4,0,6.84,6.84,25.92,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lola,96,Female,Individual,1,6,NA,NA,0,1.135,6,0,6,0,35.502,35.502,69.97,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lancia,223,Female,Individual,1,6,NA,NA,0,12.879,8,0,8,0,59.328,59.328,120.887,NA,NA,
Marmoset,Object,Familiar object,L4,2,Lotus,104.5,Male,Individual,1,6,NA,NA,0,2.87,14,5,19,25.359,63.263,88.622,205.072,NA,NA,
Marmoset,Object,Familiar object,L4,3,Lexus,212,Male,Individual,1,2,NA,NA,0,3.337,7,1,8,29.963,29.562,59.525,127.861,NA,NA,
Marmoset,Object,Familiar object,L6,4,Nux,56.5,Female,Individual,1,5,NA,NA,0,3.303,8,1,9,7.508,58.859,66.367,111.178,NA,NA,
Marmoset,Object,Familiar object,L6,4,Lex,176,Male,Individual,1,5,NA,NA,0,3.17,8,0,8,0,33.499,33.499,67.033,NA,NA,
